Source,Show,time
CSPAN,Washington This Week,none
KQED,Washington Week,pm
WETA,Washington Week,pm
WMPT,Washington Week,pm
KQED,Washington Week With Gwen Ifill,am
MSNBC,Weekends With Alex Witt,am
WGN,WGN Midday News,pm
WGN,WGN News at Nine,none
WHUT,White House Chronicles,pm
LINKTV,Witness,am
CNN,Wolf,none
CNN,World Business Today,am
WETA,Worldfocus,pm
WHUT,Worldfocus,pm
CNBC,Worldwide Exchange,am
CNN,Your Bottom Line,am
MSNBC,Your Business,am
CNN,Your Money,pm
Fox News,Your World With Neil Cavuto,pm
